1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address|description|page|price|type|weblink|address_short_1|address_short_2|price2|rooms|size|size_num
0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Langgrütstrasse 103, 8047 Zürich|Wohnung im ruhigen Wohnquatier|6|2750|4 Zimmer, 71m², CHF 2’750.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998360|Langgrütstrasse 103|8047 Zürich|CHF 2’750.– |4 Zimmer|71m²|71.0
0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Baslerstrasse 77, 8048 Zürich|Urbanes Wohnen in einem inspirierenden Umfeld|6|3506|3 Zimmer, 83m², CHF 3’506.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998358|Baslerstrasse 77|8048 Zürich|CHF 3’506.– |3 Zimmer|83m²|83.0
0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Marienstrasse 20, 8003 Zürich|Wohnen im Herzen der Stadt Zürich|6|2380|2 Zimmer, 46m², CHF 2’380.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997845|Marienstrasse 20|8003 Zürich|CHF 2’380.– |2 Zimmer|46m²|46.0
0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|6|2200|2 Zimmer, 43m², CHF 2’200.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997617|Tuggenerstr. 3|8008 Zürich|CHF 2’200.– |2 Zimmer|43m²|43.0
0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Forchstrasse 24, 8008 Zürich|Wohnen auf zwei Etagen|6|4220|3 Zimmer, 89m², CHF 4’220.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996757|Forchstrasse 24|8008 Zürich|CHF 4’220.– |3 Zimmer|89m²|89.0
0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Forchstrasse 22, 8008 Zürich|6-Zimmer-Maisonette-Wohnung an bevorzugter Lage|6|6370|6 Zimmer, 147m², CHF 6’370.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996750|Forchstrasse 22|8008 Zürich|CHF 6’370.– |6 Zimmer|147m²|147.0
0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|8002 Zürich|6 ½ Zimmer-Jugendstil-Wohnung mit 185m2 Netto-Wohnfläche mit Balkon und Veranda|6|8923|6.5 Zimmer, 185m², CHF 8’923.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000992974||8002 Zürich|CHF 8’923.– |6.5 Zimmer|185m²|185.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Trichtenhausenstrasse 86, 8053 Zürich|Ihre neue 4.5-Zimmerwohnung in der Siedlung Verdiana!|6|3947|4.5 Zimmer, 108m², CHF 3’947.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000968829|Trichtenhausenstrasse 86|8053 Zürich|CHF 3’947.– |4.5 Zimmer|108m²|108.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Hadlaubstr. 41, 8006 Zürich|Wohnung im schönen Kreis 6 gesucht?|6|3950|4.5 Zimmer, 155m², CHF 3’950.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000962664|Hadlaubstr. 41|8006 Zürich|CHF 3’950.– |4.5 Zimmer|155m²|155.0
0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Bombachstr. 24, 8049 Zürich|"Heimelige Wohnung in Höngg mieten, ""Befristet bis 31.03.2025"""|6|1799|3 Zimmer, 65m², CHF 1’799.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946253|Bombachstr. 24|8049 Zürich|CHF 1’799.– |3 Zimmer|65m²|65.0
0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Birmensdorferstrasse 32, 8004 Zürich|Charmante 4-Zimmerwohnung im Herzen Zürich`s|6|3461|4 Zimmer, 77m², CHF 3’461.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946243|Birmensdorferstrasse 32|8004 Zürich|CHF 3’461.– |4 Zimmer|77m²|77.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Dorfstr. 12, 8037 Zürich|Charmante Wohnung in ZH-Wipkingen|6|2740|4.5 Zimmer, 91m², CHF 2’740.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000934344|Dorfstr. 12|8037 Zürich|CHF 2’740.– |4.5 Zimmer|91m²|91.0
0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|7|2200|2 Zimmer, 43m², CHF 2’200.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000997617|Tuggenerstr. 3|8008 Zürich|CHF 2’200.– |2 Zimmer|43m²|43.0
