page|type|price|address_x|description|weblink|rooms|size|price2|1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address_short_1|address_short_2|size_num|address_y|latitude|longitude|detail
6|3.5 Zimmer, 112m², CHF 3’450.– |3450|Zwirnerstrasse 78, 8041 Zürich|Wunderschöne, grosszügige Wohnung|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001014817|3.5 Zimmer|112m²|CHF 3’450.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Zwirnerstrasse 78|8041 Zürich|112.0|Lyrenweg, 8047 Zürich|47.37567901611328|8.481449127197266|lyrenweg 30 8047 zuerich 261 zuerich ch zh
6|3 Zimmer, 64m², CHF 1’895.– |1895|Riedenhaldenstr. 30, 8046 Zürich|3-Zimmerwohnung mit internem Estrich, Reduit / KEIN Balkon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001013998|3 Zimmer|64m²|CHF 1’895.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Riedenhaldenstr. 30|8046 Zürich|64.0|Lyrenweg, 8047 Zürich|47.37599182128906|8.48056411743164|lyrenweg 31 8047 zuerich 261 zuerich ch zh
6|5.5 Zimmer, 139m², CHF 3’870.– |3870|Hädrichstr. 7, 8047 Zürich|moderne Architektur, spannend inszeniert|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001012043|5.5 Zimmer|139m²|CHF 3’870.– |0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Hädrichstr. 7|8047 Zürich|139.0|Lyrenweg, 8047 Zürich|47.375732421875|8.481599807739258|lyrenweg 32 8047 zuerich 261 zuerich ch zh
6|2.5 Zimmer, 71m², CHF 2’700.– |2700|Bachmattstr. 59, 8048 Zürich|modernes Zuhause|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001011959|2.5 Zimmer|71m²|CHF 2’700.– |0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Bachmattstr. 59|8048 Zürich|71.0|Lyrenweg, 8047 Zürich|47.376136779785156|8.480426788330078|lyrenweg 33 8047 zuerich 261 zuerich ch zh
6|3.5 Zimmer, 83m², CHF 3’055.– |3055|Rainfussweg 3, 8038 Zürich|Ihre Traumwohnung - modern, hell und an zentraler Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001010547|3.5 Zimmer|83m²|CHF 3’055.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Rainfussweg 3|8038 Zürich|83.0|Lyrenweg, 8047 Zürich|47.375770568847656|8.481178283691406|lyrenweg 34 8047 zuerich 261 zuerich ch zh
6|5.5 Zimmer, 186m², CHF 5’300.– |5300|Loogartenstrasse 22, 8048 Zürich|Attraktives 5.5 Zimmer-Reihen-Eckeinfamilienhaus in Zürich-Altstetten|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001007944|5.5 Zimmer|186m²|CHF 5’300.– |0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Loogartenstrasse 22|8048 Zürich|186.0|Lyrenweg, 8047 Zürich|47.37603759765625|8.480107307434082|lyrenweg 35 8047 zuerich 261 zuerich ch zh
6|3.5 Zimmer, 85m², CHF 2’760.– |2760|Welchogasse 5, 8050 Zürich|Schönes und  zentrales Wohnen beim Bahnhof Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001002683|3.5 Zimmer|85m²|CHF 2’760.– |0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Welchogasse 5|8050 Zürich|85.0|Lyrenweg, 8047 Zürich|47.375831604003906|8.481322288513184|lyrenweg 36 8047 zuerich 261 zuerich ch zh
6|4 Zimmer, 71m², CHF 2’750.– |2750|Langgrütstrasse 103, 8047 Zürich|Wohnung im ruhigen Wohnquatier|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998360|4 Zimmer|71m²|CHF 2’750.– |0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Langgrütstrasse 103|8047 Zürich|71.0|Lyrenweg, 8047 Zürich|47.37617874145508|8.47997760772705|lyrenweg 37 8047 zuerich 261 zuerich ch zh
6|3 Zimmer, 83m², CHF 3’506.– |3506|Baslerstrasse 77, 8048 Zürich|Urbanes Wohnen in einem inspirierenden Umfeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000998358|3 Zimmer|83m²|CHF 3’506.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Baslerstrasse 77|8048 Zürich|83.0|Lyrenweg, 8047 Zürich|47.375885009765625|8.481481552124023|lyrenweg 38 8047 zuerich 261 zuerich ch zh
6|2 Zimmer, 46m², CHF 2’380.– |2380|Marienstrasse 20, 8003 Zürich|Wohnen im Herzen der Stadt Zürich|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997845|2 Zimmer|46m²|CHF 2’380.– |0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Marienstrasse 20|8003 Zürich|46.0|Lyrenweg, 8047 Zürich|47.37632751464844|8.480300903320312|lyrenweg 39 8047 zuerich 261 zuerich ch zh
