price,address,rooms,size,latitude,longitude,distance_hospital,lr_day,lr_night,distance_ov,wbauj,modern,erstvermietung,zentral,see,neu,stöckig,traum,bijou,neubau,balkon,charmant,erstbezug,1 Zimmer,1.5 Zimmer,2 Zimmer,2.5 Zimmer,3 Zimmer,3.5 Zimmer,4 Zimmer,4.5 Zimmer,5 Zimmer,5.5 Zimmer,6 Zimmer,6.5 Zimmer,7 Zimmer,7.5 Zimmer,y0,y1999,y2000,y2001,y2003,y2004,y2005,y2006,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
3940,"Eugen-Huber-Str. 113, 8048 Zürich",3.5,87,47.387142181396484,8.475541114807129,2.795498169219903,28.8,17.8,0.15252412055893902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,"Wiesliacher 14, 8053 Zürich",3.0,77,47.35456466674805,8.59931755065918,1.7621205851322979,41.0,29.4,0.06757014965011787,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2480,"Birmensdorferstrasse 101, 8003 Zürich",2.0,48,47.37058639526367,8.522536277770996,1.1884392898327822,61.8,56.1,0.14122725059900001,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,"Carl-Spitteler-Strasse 21, 8053 Zürich",3.5,83,47.357452392578125,8.588934898376465,1.1628644312769243,49.0,36.5,0.15788316770756633,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,"Baslerstrasse 77, 8048 Zürich",4.0,101,47.386112213134766,8.496638298034668,2.065279445010333,52.3,43.9,0.031044608159960452,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2485,"Zeltweg 92, 8032 Zürich",2.0,46,47.36533737182617,8.5538969039917,0.7684870044225348,42.3,35.9,0.031452581573744365,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3050,"Kurvenstrasse 1, 8006 Zürich",2.5,60,47.38399124145508,8.54233455657959,0.6694161605849913,36.7,29.4,0.13343992226277285,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529,"Haldenstrasse 14, 8045 Zürich",3.5,86,47.36336898803711,8.518133163452148,1.5792356378444856,40.2,32.0,0.04707965805159379,1999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4670,"Kreuzstrasse 78, 8032 Zürich",4.5,90,47.36531448364258,8.553620338439941,0.7792842927393631,42.5,36.1,0.03754269929983272,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930,"Kreuzstrasse 78, 8032 Zürich",3.5,76,47.36531448364258,8.553620338439941,0.7792842927393631,42.5,36.1,0.03754269929983272,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2920,"Seefeldstrasse 102, 8008 Zürich",1.5,56,47.35956954956055,8.552647590637207,0.3134569248814513,55.8,45.0,0.10147563972706128,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,"Zelgwiesenstrasse 23, 8046 Zürich",3.5,70,47.413002014160156,8.527427673339844,1.6612157851559226,38.2,30.1,0.12850104875935553,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,"Pfirsichstrasse 7, 8006 Zürich",3.0,68,47.38933181762695,8.537666320800781,0.8908195099395708,37.5,31.3,0.15911824465168123,1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,"Bucheggstrasse 21, 8037 Zürich",3.5,75,47.396705627441406,8.528757095336914,0.6231784368386092,66.3,60.5,0.13252006080377052,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6490,"Sonneggstrasse 45, 8006 Zürich",3.5,140,47.380638122558594,8.545746803283691,0.5150541572353423,49.6,39.6,0.15476055548989134,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5990,"Wartauweg 19, 8049 Zürich",4.5,109,47.40304183959961,8.49215316772461,2.1349610207013243,53.6,43.9,0.04134169284429025,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4990,"Wartauweg 19, 8049 Zürich",3.5,88,47.40304183959961,8.49215316772461,2.1349610207013243,53.6,43.9,0.04134169284429025,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,"Badenerstrasse 843, 8048 Zürich",2.5,79,47.39344787597656,8.47266674041748,3.508777501103295,67.5,60.7,0.10106307263082993,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3568,"Toblerstrasse 10, 8044 Zürich",3.0,101,47.382076263427734,8.55302906036377,0.4400050516754876,51.8,40.2,0.0829213759575584,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3697,"Haldenstrasse 14, 8045 Zürich",3.5,86,47.36336898803711,8.518133163452148,1.5792356378444856,40.2,32.0,0.04707965805159379,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,"Felsenrainstrasse 73, 8052 Zürich",3.5,85,47.418968200683594,8.539424896240234,0.8945023882442928,31.6,23.0,0.12896428080630623,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2590,"Schaffhauserstrasse 438, 8050 Zürich",2.5,47,47.416568756103516,8.545424461364746,0.43094102380112104,42.8,33.3,0.017807078425796333,1999,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
