CHSTNAME,longitude,latitude
"Zürich, Langgrütstrasse",8.5010637155314,47.3737401793318
"Zürich, Schaufelbergerstrasse",8.50177480097493,47.3688942784303
"Zürich, Hönggerberg",8.50481469232139,47.4050353602654
"Zürich, Blumenfeldstrasse",8.50524293382732,47.4237769373174
"Zürich, Rebbergsteig",8.51490789426843,47.3970261892511
"Zürich, Räffelstrasse",8.5146660358586,47.3627481667953
"Zürich, Technopark",8.51534307231481,47.3890615151651
"Zürich, Waidfussweg",8.51908657707749,47.3953500972962
"Zürich, Schiffbau",8.51985207413313,47.3880299520439
"Zürich, Manesseplatz",8.52163296332299,47.3655165127399
"Zürich, Sihlcity Nord",8.52303131237643,47.3600613279953
"Zürich, Bahnhof Wiedikon",8.52420323204923,47.3714561553124
Zürich Brunau,8.52631666792697,47.3517368836671
"Zürich, Krematorium Nordheim",8.52823311824331,47.4053656585656
"Zürich, Weihersteig",8.52866324550306,47.3978957129477
"Zürich, Birchdörfli",8.53059631350303,47.4075381450481
"Zürich, Arnikahof",8.53096118624254,47.4156392135694
"Zürich, Chaletweg",8.53121943319177,47.4133700291557
"Zürich, Wollishoferplatz",8.53016097338809,47.3384416724688
"Zürich, Sukkulentensammlung",8.53429743648955,47.3549266806374
"Zürich, Friedhof Schwandenholz",8.53769182069847,47.421350218625
Zürich Enge (See),8.53726498971444,47.3589013410894
"Zürich, Bürkliplatz",8.54077211273579,47.3665408056835
Zürich Bürkliplatz (See),8.5409923444419,47.3656661727154
"Zürich, Bahnhofquai/HB",8.54168710280902,47.3774881644016
Zürich Storchen,8.54196629125858,47.3711439207675
Zürich Limmatquai,8.54261530323496,47.3730716770616
"Zürich, Scheuchzerstrasse",8.54397989380699,47.3877926522318
"Zürich, Stodolastrasse",8.59055790942144,47.35690678295
"Zürich, Bahnhof Stettbach",8.59613365939007,47.3972755710955
"Zürich, Dorflinde",8.54924963897274,47.4074053889668
"Zürich, Hadlaubstrasse",8.55132339109125,47.3867956667372
"Zürich, Ettenfeld",8.55368192418003,47.4254517522529
"Zürich, Chinagarten",8.55295297607551,47.3545142763092
"Zürich, Riedbach",8.55840928993386,47.4145220619985
"Zürich, Wonnebergstrasse",8.56654379847803,47.351845656717
"Zürich, Susenbergstrasse",8.56800920596639,47.3785381172684
"Zürich, Auzelg Ost",8.57197088105539,47.4135083773097
"Zürich, Burgwies",8.57186360376747,47.3580182756162
"Zürich, Im Klösterli",8.57693262668476,47.3846302206168
"Zürich, Rautihalde",8.47410711206791,47.3861732209965
"Zürich, Neeserweg",8.47470958425124,47.390593361089
"Zürich, Schulhaus Buchlern",8.47856764067224,47.3846669728705
"Zürich, Geeringstrasse",8.48043437220867,47.414441526842
"Zürich, Albisriederdörfli",8.48521801722734,47.375315045875
"Zürich, Winzerstrasse",8.48631977954256,47.4037472997081
"Zürich, Sädlenweg",8.48746608491776,47.3677567900086
"Zürich, Fellenbergstrasse",8.48841725347896,47.3757177795024
"Zürich, In der Ey",8.49162626069989,47.3692391066085
"Zürich, Flurstrasse",8.49198850289906,47.3815410511152
"Zürich, Letzipark",8.49921100034271,47.38777150862
"Zürich, Im Gut",8.5033651695379,47.3736110477287
"Zürich, Sportweg",8.50584444329792,47.3916232745496
Zürich Affoltern,8.50875122205665,47.4209380933914
"Zürich, Friesenberg",8.50799800380418,47.3642853020265
"Zürich, Im Wingert",8.50883626017338,47.4014271732212
"Zürich, Toni-Areal",8.51070327328328,47.3901840643958
"Zürich, Zypressenstrasse",8.51376892412408,47.3766899521974
"Zürich, Schumacherweg",8.51459195208821,47.412212720772
"Zürich, Lochergut",8.51750391648495,47.375413805868
"Zürich, Glaubtenstrasse Süd",8.51868938341102,47.413658684534
"Zürich, Binz",8.51832437352715,47.3629658868148
"Zürich, Hürstholz",8.52286303451282,47.416884799144
"Zürich, Waidhof",8.52303162793825,47.4238633268692
Zürich Wiedikon,8.52299242287369,47.3718183384224
"Zürich, Wipkingerplatz",8.52357375706736,47.3925735569369
"Zürich, Helvetiaplatz",8.52573258311023,47.3763261221548
"Zürich, Verenastrasse",8.52537954897423,47.3408255414922
"Zürich, Quellenstrasse",8.52875295377367,47.3867409746102
"Zürich, Maillartstrasse",8.53209920990729,47.4162041355411
"Zürich, Museum Rietberg",8.53155696592886,47.360718558211
"Zürich, Kalchbühlweg",8.53151389265199,47.3405337534245
"Zürich, Lettenstrasse",8.53257086391782,47.3901320188215
"Zürich, Bucheggplatz",8.53328324799908,47.3983737568622
"Zürich, Nürenbergstrasse",8.53343573040414,47.3922556625137
"Zürich, Bahnhof Wollishofen",8.53331066966418,47.348126678481
"Zürich, Rentenanstalt",8.53504052794459,47.3633840872149
"Zürich, Stockerstrasse",8.53541081680243,47.3678691552518
"Zürich, Stampfenbachplatz",8.54276489480026,47.3802933446235
Zürich Oerlikon,8.54440076459065,47.41190442949
"Zürich, Central Polybahn",8.54407681926919,47.3765028405223
"Zürich, Sternen Oerlikon",8.54623103042106,47.4100699064439
"Zürich, Trichtenhausenfussweg",8.598600428308,47.354199644285
"Zürich, Glockenacker",8.59890581640214,47.3609340438782
"Zürich, Seebach",8.54977650000136,47.4218643574316
"Zürich, Schäppiweg",8.55089480898816,47.3897411980354
"Zürich, Germaniastrasse",8.55221776452264,47.3871288647056
"Zürich, Leutschenpark",8.55519336048331,47.4166220314085
"Zürich, Hagenholz",8.5551747984801,47.414472393488
"Zürich, Toblerplatz",8.55934671107531,47.37909023128
"Zürich, Genossenschaftsstrasse",8.562372713955,47.4152032057622
"Zürich, Bircher-Benner",8.5647981827392,47.3757359859386
"Zürich, Titlisstrasse",8.56488205701704,47.3709317393795
"Zürich, Klusplatz",8.56635100436572,47.3640090900046
"Zürich, Waldhaus Dolder",8.56847852630172,47.3731903886153
"Zürich, EPI-Klinik",8.57065858165396,47.3486480508695
"Zürich, Kindersp. (ab 2.11.24)",8.57219619568146,47.3524919299592
"Zürich, Im Walder",8.57414436332461,47.3482540085711
"Zürich, Drusbergstrasse",8.57883669353287,47.3603423669598
"Zürich, Glattwiesen",8.58176006431455,47.4016013945238
"Zürich, Micafil",8.47450533686651,47.3930328350627
"Zürich, Winzerstrasse Süd",8.48621732658296,47.403253504626
"Zürich, Hohenklingensteig",8.49020734084848,47.4013463139306
"Zürich, Würzgraben",8.49484631855162,47.3920931228482
"Zürich, Mühlacker",8.49635761865188,47.4261882492242
"Zürich, Schützenhaus Höngg",8.49705110192868,47.4097301355778
"Zürich, Meierhofplatz",8.4993751963946,47.4020091199286
"Zürich, Freihofstrasse",8.49937220848291,47.3832275298462
"Zürich, Aspholz",8.5010124968784,47.4249852275958
"Zürich, Friesenberghalde",8.50240078464515,47.3611167412713
"Zürich, Schweighof",8.50269884714421,47.3647750068977
"Zürich, Gutstrasse",8.50663800417369,47.3717368398079
"Zürich, Altes Krematorium",8.50787199573256,47.3778061044755
"Zürich, Albisgütli",8.50771176583267,47.3519916022979
Zürich Friesenberg,8.50802080148257,47.3647618322072
"Zürich, Lerchenrain",8.50949232193281,47.4142929417506
"Zürich, Appenzellerstrasse",8.50952760021454,47.3989111581736
"Zürich, Talwiesenstrasse",8.50964747152242,47.3699459342416
"Zürich, Grubenstrasse",8.51167587983444,47.3628389541494
"Zürich, Im Hüsli",8.5126997980437,47.3282339868371
"Zürich, Sihlweidstrasse",8.51466091875494,47.3264166736984
"Zürich, Güterbahnhof",8.51997358992719,47.3803110335393
"Zürich, Waidspital",8.52165514240261,47.399193924237
"Zürich, Nordheimstrasse",8.53051446550807,47.4035451205281
"Zürich, Dangelstrasse",8.52996204085655,47.3345396244988
"Zürich, Bhf Enge Pausenplatz",8.53145852436806,47.3656038610917
"Zürich, Berufswahlschule",8.53332702885994,47.4043730446229
"Zürich, Obere Hornhalde",8.5363101579309,47.3311691775413
Zürich HB,8.53794697978121,47.3784952915085
"Zürich, Rennweg",8.53827276237968,47.3731041048216
"Zürich, Paradeplatz",8.53890499476572,47.3697338987629
"Zürich, Helmhaus",8.54329461569728,47.3700697958379
Zürich Seebach,8.54449732486931,47.4184698811888
"Zürich, Universität Irchel",8.5448290725924,47.3961589641202
"Zürich, Letzistrasse",8.54549690992288,47.3906835496356
"Zürich, Altried",8.59109808508698,47.4057813428288
"Zürich, Kienastenwies",8.60092412865867,47.3551387726336
"Zürich, Berninaplatz",8.54799382898621,47.4037294713043
"Zürich, Kantonsschule",8.55052632524793,47.3727169447539
"Zürich, Sprecherstrasse",8.55225772415141,47.3674920594333
"Zürich, Rigiblick",8.55341409106852,47.3873332109951
"Zürich, Hallenbad Oerlikon",8.55586439310472,47.4107057953423
"Zürich, Spyristeig",8.55619941057811,47.3862538721596
"Zürich, Waldgarten",8.5571885769031,47.403721803241
"Zürich, Römerhof",8.56053397979191,47.368176552159
"Zürich, Bahnhof Tiefenbrunnen",8.56099417069729,47.3504155229326
"Zürich, Saatlenstrasse",8.56286304391115,47.4108088436021
"Zürich, Freiestrasse",8.56297597591202,47.3628006591027
"Zürich, Herbstweg",8.56478251786998,47.4088382254857
"Zürich, Dreispitz",8.56716928216225,47.4107938653187
"Zürich, Auzelg",8.56882678561408,47.4170922151469
"Zürich, Friedrichstrasse",8.5690644452671,47.4039390726617
"Zürich, Schwamendingerplatz",8.57188724008687,47.40459505636
"Zürich, Dreiwiesen",8.57564321067136,47.3788230367071
"Zürich, Dunkelhölzli",8.47005386707664,47.3888899833078
"Zürich, Frankental",8.48162365089405,47.4054718313676
"Zürich, Bachmattstrasse",8.48304819694855,47.3889261768061
"Zürich, Bändliweg",8.48500869956363,47.3963563041984
"Zürich, Lindenplatz",8.48611259126185,47.3878190354401
"Zürich, Goldackerweg",8.48793140443871,47.3718902972175
"Zürich, Bahnhof Altstetten",8.48837606830145,47.3911086608462
Zürich Altstetten,8.48908878770938,47.391650879836
"Zürich, Bahnhof Altstetten N",8.48990498766257,47.3920662228843
"Zürich, Wartau",8.49182477640888,47.4027437994743
"Zürich, Siemens",8.49400680570112,47.378464313091
"Zürich, Schulhaus Altweg",8.49420203458969,47.3722739230434
"Zürich, Hubertus",8.49911058967042,47.3774011317847
"Zürich, Schauenberg",8.50693317533921,47.4161965696491
"Zürich, Heuried",8.50635305302719,47.369409743447
"Zürich, Bahnhof Affoltern",8.50741757691561,47.4211842986154
"Zürich, Unteraffoltern",8.51126530423538,47.4240270527892
"Zürich, Fischerweg",8.51212256448306,47.393571015982
"Zürich, Waidbadstrasse",8.51354294388557,47.3989728258512
"Zürich, Hardplatz",8.51453186270794,47.3823407589721
"Zürich, Mittelleimbach",8.51429050654038,47.3231368663303
"Zürich, Laubegg",8.51708693798767,47.3587317417038
"Zürich, Glaubtenstrasse",8.51892501402358,47.4141691976413
Zürich Binz,8.51855588891707,47.3626309019892
Zürich Leimbach,8.51903609081829,47.3334100662286
"Zürich, Sihlcity",8.52226076063794,47.3579726898886
"Zürich, Hertersteg",8.52298769889126,47.3676806241043
"Zürich, Maienweg",8.52638912143341,47.4078476660273
"Zürich, Löwenbräu",8.52600601654988,47.3884309499507
"Zürich, Besenrainstrasse",8.52785661560989,47.3454797031856
"Zürich, Bahnhof Enge",8.5315738943655,47.3641275640376
"Zürich, Renggerstrasse",8.53295767189516,47.3444689758119
"Zürich, Staudenbühl",8.53535819647287,47.4200141335124
"Zürich, Schweizer Rück",8.53545645384653,47.359791065122
"Zürich, Köschenrüti",8.53709512416566,47.4290466095713
"Zürich, Bollingerweg",8.53790386816145,47.4142871144725
"Zürich, Neunbrunnen",8.53822963154189,47.4165867423665
"Zürich, Löwenplatz",8.53743017364375,47.3759096109638
"Zürich, Schaffhauserplatz",8.53870899491719,47.3916748691374
"Zürich, Seerose",8.53813691471488,47.3389146857304
"Zürich, Stadtgrenze",8.54147095529104,47.3350419110433
"Zürich, Rathaus",8.54287898464799,47.3717378740939
"Zürich, Hirschwiesenstrasse",8.54349694068116,47.4002734655653
"Zürich, Bahnhof Oerlikon Nord",8.54393408175367,47.4124036202261
